Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
wildwest_lyttletrippers_01_arramus,POI,POIName,,x,x,Lyttle Trippers,,,,,,,,,,,,,
wildwest_market_01_arramus,POI,POIName,,x,x,Market Square,,,,,,,,,,,,,
wildwest_meatloaf_01_arramus,POI,POIName,,x,x,Meatloaf Butcher,,,,,,,,,,,,,
wildwest_mine_01_arramus,POI,POIName,,x,x,Molteny Mine,,,,,,,,,,,,,
wildwest_ministrip_01_arramus,POI,POIName,,x,x,Yo Joe Moe n Boe,,,,,,,,,,,,,
wildwest_mixstrip_01_arramus,POI,POIName,,x,x,Life Is A Game,,,,,,,,,,,,,
wildwest_mountain_shack_01_TMB,POI,POIName,,x,x,Mountain Ridge Shack,,,,,,,,,,,,,
wildwest_mountain_shack_0102_TMB,POI,POIName,,x,x,Mountain Ridge Tabby Shack,,,,,,,,,,,,,
wildwest_narrowtunnel01_TMB,POI,POIName,,x,x,Narrow Tunnel Shortcut,,,,,,,,,,,,,
wildwest_traderbobpass01,POI,POIName,,x,x,Trader Bob Tunnel Shortcut,,,,,,,,,,,,,
wildwest_nitrary_01_arramus,POI,POIName,,x,x,Nitrary Factory,,,,,,,,,,,,,
wildwest_old_stormi_09,POI,POIName,,x,x,Stormi Weather Boarding House,,,,,,,,,,,,,
wildwest_pack_01_arramus,POI,POIName,,x,x,Murder Mounds,,,,,,,,,,,,,
wildwest_patrol_nation_01_arramus,POI,POIName,,x,x,Patrol Nation Trail Goods,,,,,,,,,,,,,
wildwest_picturehouse_Medusa,POI,POIName,,x,x,Picture House,,,,,,,,,,,,,
wildwest_prison_01,POI,POIName,,x,x,Swinging Prison,,,,,,,,,,,,,
wildwest_raft_destroyed_TMB,POI,POIName,,x,x,Destroyed Raft,,,,,,,,,,,,,
wildwest_railroad_Medusa,POI,POIName,,x,x,Copperhead Railroad,,,,,,,,,,,,,
wildwest_remnant_business_03,POI,POIName,,x,x,Crispy Books,,,,,,,,,,,,,
wildwest_remnant_oldwest_01,POI,POIName,,x,x,Wagon Stop,,,,,,,,,,,,,
wildwest_remnant_oldwest_02,POI,POIName,,x,x,Hay Bail Stop,,,,,,,,,,,,,
wildwest_remnant_oldwest_04,POI,POIName,,x,x,Broken Dreams,,,,,,,,,,,,,
wildwest_remnant_oldwest_05,POI,POIName,,x,x,Very Broken Dreams,,,,,,,,,,,,,
wildwest_remnant_oldwest_06,POI,POIName,,x,x,View with a Room,,,,,,,,,,,,,
wildwest_remnant_oldwest_07,POI,POIName,,x,x,Ash Hotel,,,,,,,,,,,,,
wildwest_remnant_oldwest_08,POI,POIName,,x,x,The Clutter Chest,,,,,,,,,,,,,
wildwest_remnant_oldwest_09,POI,POIName,,x,x,Burnt Barn,,,,,,,,,,,,,
wildwest_rockformation_01_TMB,POI,POIName,,x,x,Rock Formation 01,,,,,,,,,,,,,
wildwest_rockformation_02_TMB,POI,POIName,,x,x,Rock Formation 02,,,,,,,,,,,,,
wildwest_rural_church_01,POI,POIName,,x,x,Rural Church,,,,,,,,,,,,,
wildwest_saloon_01_arramus,POI,POIName,,x,x,Winchester Barroom,,,,,,,,,,,,,
wildwest_sawmill_01_arramus,POI,POIName,,x,x,Sawmill,,,,,,,,,,,,,
wildwest_schoolfix_01_arramus,POI,POIName,,x,x,Walton Wagon School,,,,,,,,,,,,,
wildwest_settler_01_arramus,POI,POIName,,x,x,Hopeful Settlers,,,,,,,,,,,,,
wildwest_shipping_warehouse_TMB,POI,POIName,,x,x,Shipping Warehouse,,,,,,,,,,,,,
wildwest_shipwreckage_TMB,POI,POIName,,x,x,Ship Wreck,,,,,,,,,,,,,
wildwest_smallcabin_01_TMB,POI,POIName,,x,x,Small Smokey Cabin,,,,,,,,,,,,,
wildwest_smallcabin_01_TMB_arramus,POI,POIName,,x,x,Small Lumber Cabin,,,,,,,,,,,,,
wildwest_smallcabin_02_TMB_arramus,POI,POIName,,x,x,Small Workshop Cabin,,,,,,,,,,,,,
wildwest_spectabcem_01_arramus,POI,POIName,,x,x,Wine Mine Fine,,,,,,,,,,,,,
wildwest_spelunking_deathtrap_TMB,POI,POIName,,x,x,Spelunking Death Trap,,,,,,,,,,,,,
wildwest_spelunking_deathtrap_02_TMB,POI,POIName,,x,x,Spelunking Death Trap Crater,,,,,,,,,,,,,
wildwest_spelunking_deathtrap_0201_TMB,POI,POIName,,x,x,Spelunking Death Trap Crater,,,,,,,,,,,,,
wildwest_splint_eastwood_01_arramus,POI,POIName,,x,x,Splint Eastwood Hospital,,,,,,,,,,,,,
wildwest_stables,POI,POIName,,x,x,Lazy H Stables,,,,,,,,,,,,,
wildwest_stables_01_arramus,POI,POIName,,x,x,Gee Gee Stables,,,,,,,,,,,,,
wildwest_stables_02_arramus,POI,POIName,,x,x,Double Hay Stables,,,,,,,,,,,,,
wildwest_stables_03_arramus,POI,POIName,,x,x,Gee Bee Stables Saloon,,,,,,,,,,,,,
wildwest_station_01_arramus,POI,POIName,,x,x,Station Strip,,,,,,,,,,,,,
wildwest_station_02_arramus,POI,POIName,,x,x,Waiting Room,,,,,,,,,,,,,
wildwest_stonecave_01_arramus,POI,POIName,,x,x,Crater Bear Cave,,,,,,,,,,,,,
wildwest_stonecave_02_arramus,POI,POIName,,x,x,Crater Bear Cave,,,,,,,,,,,,,
wildwest_strip_01,POI,POIName,,x,x,EZ Strip,,,,,,,,,,,,,
wildwest_strip_02,POI,POIName,,x,x,Stiff Strip,,,,,,,,,,,,,
wildwest_strip_03,POI,POIName,,x,x,Gun n Fun Strip,,,,,,,,,,,,,
wildwest_strip_04,POI,POIName,,x,x,Metal Meltdown,,,,,,,,,,,,,
wildwest_sweeney_01_arramus,POI,POIName,,x,x,Sweeny n Lovett,,,,,,,,,,,,,
wildwest_tobacco_01_arramus,POI,POIName,,x,x,Old Smokey,,,,,,,,,,,,,
wildwest_townclock_saloon_01_arramus,POI,POIName,,x,x,Timber Clock Saloon,,,,,,,,,,,,,
wildwest_tradertales,POI,POIName,,x,x,Fort Trader Tales,,,,,,,,,,,,,
wildwest_treasure_01_TMB,POI,POIName,,x,x,Treasure Chest,,,,,,,,,,,,,
wildwest_tug_wreck_TMB,POI,POIName,,x,x,Tug Wreck,,,,,,,,,,,,,
wildwest_tunnelcave_TMB,POI,POIName,,x,x,Tunnel Cave,,,,,,,,,,,,,
wildwest_tunnelcave01_TMB,POI,POIName,,x,x,Crater Tunnel Cave,,,,,,,,,,,,,
wildwest_tunnelcave02_TMB,POI,POIName,,x,x,Medusa Tunnel Cave,,,,,,,,,,,,,
wildwest_upright_arramus,POI,POIName,,x,x,Upright Merchant Vessel,,,,,,,,,,,,,
wildwest_upright_drydock_arramus,POI,POIName,,x,x,Drydock,,,,,,,,,,,,,
wildwest_Vaudeville_Medusa,POI,POIName,,x,x,Blair Vaudeville Theater,,,,,,,,,,,,,
wildwest_venom_mine_TMB,POI,POIName,,x,x,Venom Mine,,,,,,,,,,,,,
wildwest_wateringhole01_TMB,POI,POIName,,x,x,Large Watering Hole,,,,,,,,,,,,,
wildwest_wateringhole02_TMB,POI,POIName,,x,x,Small Watering Hole,,,,,,,,,,,,,
wildwest_watertower,POI,POIName,,x,x,Water Tower,,,,,,,,,,,,,
wildwest_wildernessgroup_01_Medusa_arramus,POI,POIName,,x,x,Wilderness Mine and Dine,,,,,,,,,,,,,
wildwest_wildernessgroup_02_Medusa_TMB_arramus,POI,POIName,,x,x,Dead Tired Compound,,,,,,,,,,,,,
wildwest_woodpecker_01_arramus,POI,POIName,,x,x,Woodpecker,,,,,,,,,,,,,

cobblestoneShapes,blocks,Block,,,,Cobblestone Shapes,,,,,,,,,,,,,
woodShapes,blocks,Block,,,,Wood Shapes,,,,,,,,,,,,,
quest_WhiteRiverCitizen1_description_title,Journal Tip,,,,,Wild West Settler,,,,,,,,,,,,,
tutorialTipQuest01,Journal Tip,,,,,"Welcome Settler!\n\nUnable to navigate through a heavy fog and a strange blood red sky, your ship has crashed into rocks and the vessel upturned. The island you have stumbled upon is fraught with danger. Prepare yourself for....\n\nThe Wild West.",,,,,,,,,,,,,
tutorialTipQuest01_title,Journal Tip,,,,,Started Wild West Survival,,„Das 1x1 des Überlebens“ begonnen,Supervivencia básica empezada,Bases de la survie (en cours),È iniziata la missione di sopravvivenza di base,サバイバルの基本を始めました,생존의 기본 시작,Podstawy przetrwania — początek zadania,Iniciando o Básico da Sobrevivência,Запущены основы выживания,Temel Hayatta Kalma Başladı,开始基础生存技巧,開始學習生存基本知識,Supervivencia básica empezada
tutorialTipQuest02,Journal Tip,,,,,"Wild West Survival is your active quest. The quest's status is displayed on the Objective Tracker in the top right of the screen. For more information on quests, access your Inventory and navigate to the Quests menu.\n\nPlease complete the Wild West Survival stage in order to receive 5 Skill Points, and the 'Infected Settlers' quest from the first trader.",,,,,,,,,,,,,
quest_WhiteRiverCitizen1,Quest,Quest Info,,,,Wild West Settler 1/1,,,,,,,,,,,,,
quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,,"Good Job Settler,\n\nYou have proved to be capable, and with much potential. We have marked your map with a New Frontier Outpost location. There you will find a Trader where you can buy and sell goods, and trade stories with one of our friendly townsfolk.\n\nWelcome Aboard, - The New Frontier Fellowship",,,,,,,,,,,,,
questRewardT1HandgunBundle,items,item,,,,.38 666 Bundle,,,,,,,,,,,,,
questRewardT2HandgunBundle,items,item,,,,.44 Raven Bundle,,,,,,,,,,,,,
questRewardT3HandgunBundle,items,item,,,,.44 Schofield Bundle,,,,,,,,,,,,,
questRewardT3HandgunLegendaryBundle,items,item,,,,Q6 .44 Schofield Legendary Bundle,,,,,,,,,,,,,
questRewardT3RifleBundle,items,item,,,,Legendary Tribe Winchester Rifle Bundle,,,,,,,,,,,,,
questRewardT3RifleLegendaryBundle,items,item,,,,Q6 Legendary Tribe Winchester Rifle Bundle,,,,,,,,,,,,,

quest_WhiteRiverCitizen0_name,Quest,Quest Info,,,,"Wild West Startpoint",,,,,,,,,,,,,
quest_WhiteRiverCitizen0_subtitle,Quest,Quest Info,,,,"Wild West Startpoint",,,,,,,,,,,,,
quest_WhiteRiverCitizen0_description,Quest,Quest Info,,,,"Welcome Settler!\n\nUnable to navigate through a heavy fog and a strange blood red sky, your ship has crashed into rocks and the vessel upturned. The island you have stumbled upon is fraught with danger. Prepare yourself for....\n\nThe Wild West Mod.",,,,,,,,,,,,,
quest_WhiteRiverCitizen0_description_title,Journal Tip,,,,,Wild West Mod,,,,,,,,,,,,,
WildWestStarterKit,items,item,,,,Settler Starter Kit,,,,,,,,,,,,,
WildWestStarterKitDesc,items,item,,,,This Settler Starter Kit provides a few items to ease you back into the Wild West.,,,,,,,,,,,,,

quest_BasicSurvival1,Quest,Quest Info,,,,Wild West Survival 1/6,,Das 1x1 des Überlebens 1/6,Supervivencia básica 1/6,Les bases de la survie 1/6,Basi della sopravvivenza 1/6,生き残るための基礎知識 1/6,기본 생존 1/6,Podstawy przetrwania 1/6,Sobrevivência Básica 1/6,Основы выживания 1/6,Temel Hayatta Kalma 1/6,基础生存 1/6,基本生存 1/6,Supervivencia básica 1/6
